Address,Lat,Long
Jurong East MRT,1.333152816,103.7422863
Bukit Batok MRT,1.349033312,103.7495665
Bukit Gombak MRT,1.358611591,103.7517909
Choa Chu Kang MRT,1.38536847,103.7440849
Yew Tee MRT,1.397535069,103.7474052
Kranji MRT,1.425086981,103.7621375
Marsiling MRT,1.432521149,103.7740746
Woodlands MRT,1.43681963,103.7860668
Admiralty MRT,1.440588562,103.8009905
Sembawang MRT,1.449050822,103.8200461
Canberra MRT,1.443076641,103.8297026
Yishun MRT,1.429443085,103.835005
Khatib MRT,1.41738337,103.8329799
Yio Chu Kang MRT,1.381755871,103.8449473
Ang Mo Kio MRT,1.36993285,103.8495581
Bishan MRT,1.351018898,103.8500572
Braddell MRT,1.340105207,103.8467559
Toa Payoh MRT,1.332629281,103.8475022
Novena MRT,1.320440791,103.8438256
Newton MRT,1.312570317,103.8380316
Orchard MRT,1.302422248,103.8238685
Somerset MRT,1.300252877,103.8391583
Dhoby Ghaut MRT,1.298911644,103.8462925
City Hall MRT,1.292989907,103.8525426
Raffles Place MRT,1.283933262,103.8514631
Marina Bay MRT,1.276311144,103.854605
Marina South Pier MRT,1.271027036,103.8624475
Expo MRT,1.334549778,103.9615482
Pasir Ris MRT,1.373043316,103.9492845
Tampines MRT,1.356191483,103.9546345
Simei MRT,1.343197079,103.9533772
Tanah Merah MRT,1.327187291,103.9463486
Bedok MRT,1.323979969,103.9299845
Kembangan MRT,1.321038134,103.9129479
Eunos MRT,1.319783549,103.9032258
Paya Lebar MRT,1.317247385,103.8922608
Aljunied MRT,1.316432612,103.882906
Kallang MRT,1.31148891,103.8713865
Lavender MRT,1.307391879,103.8627846
Bugis MRT,1.30026469,103.8556148
Tanjong Pagar MRT,1.276561317,103.8457252
Outram Park MRT,1.280241533,103.8400521
Tiong Bahru MRT,1.286194579,103.8269989
Redhill MRT,1.289634534,103.816741
Queenstown MRT,1.294550852,103.8060772
Commonwealth MRT,1.302501999,103.7982285
Buona Vista MRT,1.306275348,103.7903632
Dover MRT,1.311405293,103.7786378
Clementi MRT,1.315116253,103.7651915
Chinese Garden MRT,1.342352821,103.7325967
Lakeside MRT,1.344259115,103.7209491
Boon Lay MRT,1.338604055,103.7060646
Pioneer MRT,1.337587011,103.6973216
Joo Koon MRT,1.327717041,103.678375
Gul Circle MRT,1.319470901,103.6605305
Tuas Crescent MRT,1.321026956,103.6490782
Tuas West Road MRT,1.329985047,103.6396166
Tuas Link MRT,1.340882425,103.6369914
HarbourFront MRT,1.265311399,103.8205573
Chinatown MRT,1.283964052,103.8431419
Clarke Quay MRT,1.287452114,103.8461192
Little India MRT,1.307243816,103.8498416
Farrer Park MRT,1.3131403,103.8547547
Boon Keng MRT,1.319939577,103.8620527
Potong Pasir MRT,1.331378085,103.8693635
Woodleigh MRT,1.339828246,103.8709609
Serangoon MRT,1.350633615,103.8727717
